ID,前文,題幹,選項1,選項2,選項3,選項4
1552537,佇大航海時代初期，船長佮船頭家有血緣上的關係，往往會互信互助，雙方攏有上大的利純。一旦血緣親族的關係結束，互信的基礎就會降低，所以後來的船長就愛予人要求共同投資商船，嘛因為這種「同甘共苦」的形式，會當擔保雙方得著利純。就按呢，歐洲商船隊佇世界逐位真緊發展佮貿易，西班牙、葡萄牙、英國攏以大奒的商船隊佇全世界做王。,請問歐洲商船隊是按怎會當佇全世界做王？,船長佮船頭家是結拜的,商船隊得著國家資金的補助,船長嘛是商船的股東,國佮國之間簽訂契約互相援助
1562537,"阿婆仔：你好，我頭遍行跤到，咱小借問一下我欲看骨科愛去佗位掛號？
志工：阿婆，你代先寫一寡資料，才閣提健保卡去掛號櫃台遐就好矣。
阿婆仔：啊櫃台佇佗位？我目睭濁無啥看呢。
志工：看著藥房向前行，才閣正斡，掛號櫃台就佇遐。
阿婆仔：多謝。",根據對話，請問阿婆仔來遮創啥？,問電話番。,看醫生。,問路。,拆藥仔。
1572537,彰化原名「半線」，清朝時改名彰化，掠伊「彰顯王化」的意思。彰化一直是台灣中部要緊的政治中心，嘛有出名的「彰化八景」名稱，分別是：定寨望洋、鹿港飛帆、豐亭坐月、龍井觀泉、虎巖聽竹、清水春光、珠潭浮嶼、碧山曙色。彰化八景綴時代的變化來小可有寡改變。另外，清朝時的彰化縣範圍包括這馬的彰化、南投、雲林，部分景點其實毋是屬佇這馬彰化縣的範圍。,根據這篇文章，下跤佗一項描述正確？,彰化景色豐富多元,彰化無港口,彰化佇清代才畫做地理區,彰化改名是為著紀念名人
1582537,"查埔：你好，我想欲注文房間。
查某：請問你想欲注文當時的佮欲訂幾間？
查埔：我想欲訂8月25到8月27，三工暗時，一間兩人房佮一間四人房。
查某：歹勢，這段期間阮遮攏無四人房矣，毋過阮遮猶有真濟兩人房佮三人房。
查埔：請共我換做三間兩人房，多謝。",請問對話中的查埔人注文的房間是按怎佮原底無仝款？,因為彼段時間伊想欲蹛其他的房間,因為發現講彼段時間四人房較貴,因為彼段期間四人房無空房矣,因為伊想欲改旅行的行程安排
1592537,"丙（男生）：公園足濟外籍看護咧陪序大人運動。
丁（女生）：是啊，台灣外勞真正足濟。
丙：真濟看護對待序大嘛真有疼心。
丁：in有頭路，序大有人陪，對雙方攏好。
丙：若無遮的看護，實在毋知影遮的老人欲按怎？會當出來活動，對序大是真要緊啊。
丁：會當到公園活動，看護嘛通佮仝鄉罔開講，凡勢in彼此攏會真歡喜！",對話的兩个人對外籍看護的觀察是啥？,序大人無需要外籍看護。,看護去公園無人通開講。,真濟看護無想著欲去公園。,佇公園，老人佮看護攏快活。
1602537,中國古典小說中，定定有這款話︰「你等我一刻鐘。」中國古早是用一工12個時辰計時。一个時辰是八刻，所以一刻鐘是十五分鐘，一點鐘有四刻鐘，小華看時鐘咧講：這馬差一刻就欲十五點矣。,請問這馬是幾點幾分？,下晡03:00:00,下晡02:45:00,下晡03:15:00,下晡02:30:00
1612537,一个人咧講：「小人直直爬入去牆內底去，四圍草仔頂，點欲十外葩火把，看林沖彼箍通走佗位去？」彼个咧講：「這早慢燒kah八分較過。」閣聽一个講：「就算林沖欲旋來保性命，共大軍草料場燒燒掉，嘛得一个死罪。」閣一个講：「咱來轉去城--nih」一个講：「閣看覓咧，抾伊一兩塊仔骨頭轉去京城，府--nih見太尉佮衙內的時，就講咱uân-á會做代誌。」,請問根據這段文章，佗一个選項是毋著的？,放火是為著欲燒死林沖,林沖無去予人燒死嘛會著一个死罪,抾骨頭是為著欲安葬林沖,替太尉佮衙內做代誌
1622537,"查埔：中式食食的名看起來是誠特別，比論講：「涮涮鍋」的「涮」到底是啥物意思？
查某：中國菜有一寡名會當看出伊的作法。「涮涮」就表示共切好的薄肉片仔囥佇燒唿唿的湯頭內底，燙一下仔就連鞭提去搵豆油食。醉雞嘛是按呢，「醉」的作法是共炊起來的雞肉囥佇酒內底浸一陣仔，予雞肉有另外一款無仝的滋味。
查埔：我足愛食紅糟肉，敢講「糟」嘛是一个料理的方法？
查某：糟是用酒囥落入去豉的方法，紅糟是激酒過濾的時陣留落來的酒糟，紅糟肉是用酒糟、豆油遐的醬料共糊起去三層肉的表面，紲落去共豉過的豬肉囥踮冰箱內底，冰三工至五工，落尾仔才提出來糋。
查埔：講遐爾濟好食的，我腹肚足枵的，咱緊來去食飯！
查某：好，咱來揣一間餐廳，點你愛食的菜。",這段對話的重點是啥？,肉類是欲按怎保持鮮沢,各人愛食的物件,中國菜的歷史演變,中國菜料理的方式
1632537,女：佇臺灣，你上愛的夜市仔是佗一个？男：逢甲夜市，毋過我較佮意清氣閣衛生的餐廳。,請問這位先生的意思是？,伊足佮意踅臺灣的夜市,伊感覺夜市仔無講較衛生,伊無啥佮意佇夜市食飯,伊願意佇逢甲夜市食暗頓
1642537,"塞翁：「逐家莫煩惱，雖罔我的馬仔拍毋見，猶毋過無的確這是好代誌呢。」
厝邊兜：「你的馬仔家己走轉來矣，而且閣𤆬轉來一隻胡地的媠馬。」
塞翁：「無代無誌得著這隻媠馬恐驚毋是啥物好代啊！」
厝邊兜：「是有影足好運啦！」
塞翁：「多謝關心，這隻馬仔予阮囝摔斷跤，無的確這是一件好代誌呢！」",請問這段對話，較倚下面佗一个句？,跋一倒 ，抾著一隻金雞母。,內行人。,浪子回頭。,綴人行動。
1652537,"男：我昨昏去鶯歌的瓷仔舊街仔，遐的街仔路有影是真古早。
女：鶯歌舊街仔喔……我會記得我細漢的時陣若像有捌佮厝裡的人做伙去過。
男：按呢你對遐有任何印象無？
女：對街仔路若像無啥印象，毋過予我印象上深的是我彼陣咧搝坯耍甲足歡喜的！
男：我昨昏去的時陣嘛有看著足濟搝坯的教室，有老師𤆬囡仔做伙咧捏（liap）uánn-thôo，𪜶看起來真快樂呢！",這位小姐對瓷仔舊街仔的印象是啥物？,搝坯真趣味。,街仔路真有古早氣。,有足濟咧賣瓷仔的店。,有真濟老師會聚集佇瓷仔舊街仔。
1662537,"男：全台灣保存了上完整的日本神社，就是佇桃園虎頭山。
女：遐有啥物特別的？
男：有人講來到遮，就若像來到日本。閣有人滾耍笑講，來桃園就好，哪著開錢買機票去日本咧？
女：有影遮爾媠喔？
男：我定定佇彼个所在若散步若愖，你有閒一定愛來行行看看咧。",是按怎講來桃園虎頭山，就免去日本咧？,桃園是日本的姊妹仔市。,桃園人愛去日本𨑨迌。,桃園虎頭山的神社保存完整。,去日本的機票傷貴。
1672537,臺中歌劇院對2016年開始推出指環4年計畫，是西班牙拉拉前衛劇團佮臺灣國家交響樂團合作演出華格納的歌劇《尼貝龍指環》，規齣戲攏總四部曲，《萊茵黃金》、《女武神》、《齊格飛》、《諸神的黃昏》，每部曲演出時間是五點鐘，四部曲照次序做四冬演出，逐年秋天開演。2018年欲進入第三部曲《齊格飛》，久久等待的樂迷就愛把握機會。,臺中歌劇院推出的《尼貝龍指環》四部曲偌久會搬一齣？,一季搬一部曲,兩冬搬一部曲,一冬搬一部曲,一禮拜搬一部曲
1682537,麥克•喬丹是二十世紀上蓋有影響力的運動員之一，伊佇籃球場有「空中飛人」的稱號。看伊拍球若像是一場個人表演，球賽已經不止是球賽，根本是一場美妙的藝術表演矣。就算講喬丹的技巧高明神奇，佇球壇是喝水會堅凍，毋過伊捌講過一句予人深刻去思考的話：「能力會當予你佇比賽贏人，毋過團隊才會當予你著冠軍。」,為啥物看喬丹拍球已經毋是球賽？,伊會曉用籃球變魔術。,形容伊的團隊精神。,伊的技術高明神奇。,伊為球隊贏著總冠軍。
1692537,"阿良：我聽講壽險公會欲採用區角鍊技術的「保險業科技運用共享平台」，提供保投人閣較濟保障。
國賓：這个平台按算今年二月欲試用，半年內會正式採用，已經有十三家業者登記欲參加。這个平台先予三間保險公司試用，閣共人壽公司的保單資料連結到平台頂。
阿良:民眾保單買了，會收著一組個人認證密碼，線頂認證了就完成核保通知，而且(tshiánn)仝時間記錄佇保單寄金簿內，彼簿仔會記錄逐間保單的細節，毋免煩惱保單會拍無去。",請問下面佗一个是著？,為防止金融犯罪採用區角鍊技術,系統平台佇試用了隨全球線頂欲使用,保戶會得著一組個人密碼,這是亞太區的共享平台
1702537,"張先生：喂！王太，你敢有閒陪我去踅街？今仔百貨公司大拍賣喔！
王太太：歹勢，張--先，今仔是舊曆十六，我愛共店--的鬥相共拜拜的代誌。
張先生：拜財神爺hioh？恁兜已經趁真濟矣。抑是拜觀音菩薩或是保生大帝，祈求規家伙仔平安健康。
王太太：阮今仔是欲拜土地公，等咧店門口就欲排桌子，頂面會排拜拜的供品。
張先生：著喔！店頭攏會拜土地公祈求生理沖沖滾。恁拜拜攏是拜啥物供品？
王太太：我大家官會攢果子、芳花、發粿、麻糬，佮金紙等等。
張先生：恁兜猶有保留傳統風俗，阮兜是小家庭閣驚費氣，所以就無欲拜拜啦！
王太太：我是因為公大家官in有堅持，才想講尊重序大的想法啊！
",請問張先生對拜拜的看法是啥？,無佮意拜拜，因為浪費錢。,感覺拜拜足麻煩的。,佮意拜拜的祭品。,感覺拜拜會當予趁錢趁閣較濟。
1712537,請聽下跤這一段報導，來回答下面三个問題。聯合國表示，只要全球減少二十五%的糧食浪費，就會當予地球頂懸所有个人食飽。每一年生產出來的食物內底，有三分之一略約十三億噸的食物無彩去，其中包括四十五%果子菜蔬、三十五%魚仔類海產、三十%五穀類、二十%的牛奶產品佮二十%的肉品。也就是講有人清彩浪費這寡食物的時陣，嘛有七億的人咧枵腹肚。浪費食物的原因誠濟，一種是佇運輸的過程中間，食物無法度避免的損失，毋過另外一種是真正的浪費，可能是消費者買傷濟煞食袂了，抑是講這寡賣食物的所在因為食物的外口皮較歹看，就共𪜶攏擲掉。報導中有講著，有能力會當買愈濟的人，顛倒擲掉愈濟。糧食浪費上嚴重的國家分別是美國、加拿大、澳洲佮紐西蘭，消費者買的糧食有三十九%予人浪費掉；紲落去是歐洲，三十一%糧食予人糟蹋浪費。愈有才調買物件的人，擲挕捒的就愈濟。非洲國家大概干焦浪費五％-十六％會當食的物件。目前有的國家政府開始規定超市共賣無了的食物捐予其他的需要的人，希望按呢會當減少食物浪費。,根據這份報導，啥物款的食物種類浪費的%數上懸？,菜蔬果子,魚仔海產,牛奶製品,肉類
1722537,根據國際博物館協會對博物館的定義：「博物館是一个非營利的永久性機構，是佇所佇咧的地區社會，開放予逐家，以教育、學習、娛樂為目的，收藏、保存、研究、傳播和展示人類佮環境的具體物質證據。」,請問根據這段文章，下底的說明佗一个是著的？,博物館予人設定是一个營利性機構,博物館有服務社會的多元化功能,博物館是私人性質，無對逐家開放,參觀博物館攏免買門票
1732537,暗頭仔，眾人佇賈母面前。逐家講笑的時，賈母因為問寶釵愛聽啥款戲，愛食啥物。寶釵深知賈母老大人，佮意鬧熱戲文，愛食甜爛的物，就攏照賈母所佮意的總講一遍。予賈母閣較意愛。,請問根據這段文章，愛食甜閣爛的食物的是啥人？,眾人,賈母,寶釵,無法度判斷
1742537,"大同：我看比基尼登山客分享的相片攏誠壯觀，我嘛開始想欲去爬玉山矣。思琪，妳敢捌爬過玉山？
思琪：有啊！舊年捌佮爸爸鬥陣去。阮閣佇山頂紮營，等欲看日出，日出美景予人真難忘。
大同：思琪，你敢知影？「玉山」嘛是美術界一个真重要的人名。
思琪：是啥人？
大同：伊就是「台展三少年」之一－－林玉山。伊這世人捌畫過袂少知名的作品，佇彼時的台灣畫壇是真出名。
思琪：有夠厲害！他捌畫啥工物款畫咧？
大同：伊用水牛做主角，畫出象代表台灣人堅強耐勞，溫和誠懇、性命力滿滿的內在性格。
思琪：你敢知影伊的畫號做啥物名？
大同：譬論講：双牛圖、大南門、猛虎圖、蓮池、嘉義街外，大概仔有上百件作品！毋知影博物館當時會展出咧？
",請問啥人毋捌過玉山？,思琪的爸爸,思琪,大同,思琪的媽媽
1752537,"查某：予我問一下，我手機仔的合約咧欲到矣，你感覺佗一間食甲飽較好。
查埔：其實這馬攏嘛差不多。這著愛看你的生活箍仔佇佗位，收訊較重要。
查某：我攏佇市區較濟，按呢辦佗一間較適合。
查埔：若是佇市區，逐間的通訊攏差不多，按呢就揀俗的就好。
查某：佗一間較俗？
查埔：我建議海洋電信，因為伊上俗。
查某：毋過我聽人講海洋電信收訊無蓋好，𠢕斷線。
查埔：抑無你敢欲辦日頭光電信的，雖然有較貴淡薄仔，毋過收訊上好，連佇咧山頂都收會著。你毋是佮意爬山？
查某：我這馬就是用日頭光電信，所毋知就是𪜶講紲約袂和。
查埔：其實你會使揣通訊行辦，𪜶定定攏加俗門市真濟。
查某：你敢有推薦的通訊行？
查埔：你會當去方向通訊行問看覓，𪜶這間佇網路頂評價猶袂䆀。
查某：好，我這禮拜日就去問看覓。",請問下面描述的佗一項正確,對話內面查某的拍算佇門市辦,對話內面查某的拍算佇通訊行辦,對話內面查埔的拍算辦海洋電信,對話內面查某的拍算辦海洋電信
1762537,"查埔：阿美，讀三年仔，就佇咧──　
查某：你有熟似阿美喔？
查埔：無毋著，我是𪜶阿兄。你知影伊佇佗位無？
查某：伊敢是愛麗絲老師𪜶彼班的？
查埔：無毋著。
查某：若按呢，伊應該佇博物館內底，阮頂禮拜才去過。
查埔：佗一个博物館？
查某：就是博物館啊！
查埔：是彼間有恐龍的，抑是有蔭屍的彼間？
查某：有蔭屍的。",有關阿美佗一个選項是毋著的？,讀三年仔。,是查埔的小妹。,佇咧有恐龍的博物館內底。,是愛麗絲老師𪜶彼班的。
1772537,"查埔：小姐，請問華山文化園區愛按怎麼行？我想欲看一个當代藝術特展。
查某：你對這條路直直行，攏莫轉斡，過三個青紅燈了後才斡正手爿，閣行幾步矣，就會看著華山。
查埔：等一下，這附近敢有公用的鐵馬通租？我想欲騎鐵馬去。
查某：這我無嘛確定，啊無欲坐捷運去無？捷運站就佇附近。
查埔：好喔！我先用手機仔查一下，多謝你鬥相共。",請問是按怎查埔人欲問路？,伊想欲熟似對方,伊欲看展覽,伊想欲揣捷運站,伊想欲踅當代藝術館
1782537,"妮妮：小新，你嘛來聽音樂會，今仔日你佮siáng做伙來？
小新：我佮娜娜做伙來，伊拄佇咧便所。曷你咧？
妮妮：我一个人來。蕭邦的古典音樂上適合一个人坐佇下跤恬恬仔聽，敢毋是？",請問下面佗一个講法是著的？,妮妮佮小新做伙聽音樂會,小新無佮意蕭邦的古典樂,妮妮佮娜娜攏佮意蕭邦,娜娜去便所
1792537,阮蹛佇公寓，有當時仔我會共公用的樓梯掃掃咧。阿琴是蹛佇樓頂的厝邊，伊的工課是做摒掃的，有一擺看著我咧掃塗跤，共我講：「哪著愛掃啦？」閣一擺看著我咧等糞埽車，竟然共我講：「阮兜從到今無咧擲糞埽。」伊是按怎毋免等糞埽車？因為伊共厝裡的糞埽佮公園的糞埽濫濫摻摻做一伙，糞埽車攏固定時間來公園遮車糞埽。公共的樓梯毋掃，一定會那來那癩𰣻。共私人的糞埽透濫入去公園的糞埽內底，這是自私的行為，無人敢保證講佗一工袂去予人發現著？伊是咧做摒掃的，若無意願掃公用的樓梯就準拄煞矣，閣反倒轉來共我笑，像伊這款自私自利的人叫是家己是有偌爾仔高明咧，伊敢毋知按呢做是無好的？,作者若佮阿琴仝款，有可能會按怎？,公寓愈來愈清氣。,公園糞埽愈來愈少,得著眾人尊重。,環境愈來愈垃圾。
1802537,查埔人:「臺南好食的食物實在傷濟矣，毋知影愛對佗開始介紹呢。阿無你先共我講你的需求，我才來回答。」查某人:「我蹛佇大億麗緻，你就共我介紹講彼搭有啥物好食物。」,請問根據這段對話，查某人的需求重點是啥？,海產類,點心,甜點類,地點愛近
1812537,清明節的前一工是「寒食節」，相傳是為著紀念春秋時代的忠臣「介之推」，特別佇彼工禁止煙佮火，所有徛家攏袂使燃火、干焦食冷食，就是「寒食」。這幾冬，寒食、清明已經濫濫做伙，民眾會佇清明彼工學古早人，去市仔買薄麵皮轉來，包著時的青菜做做食物，號做「潤餅𩛩」。,所以潤餅𩛩是佇佗一个節日咧食的？,清明,中秋,重陽,五日節
1822537,網路的世界無奇不有，你會使家己創一个帳號，佇網路頂發言、交朋友、甚至是投資。全世界虛擬貨幣誠興，價值誠驚人，全世界的人攏會當入去投資，只要用戶透過特定的交易網站將貨幣存佇特定的網路頂，等待時機趁利息。毋過，遮爾濟的利純會予人起歹心，駭客用帳號錢包仔轉數，偷偷仔將客戶的資產偷提走。日本舊年發生虛擬貨幣用戶遭竊事件，致使規百億的日票隨無去。著算講日本已經對虛擬貨幣立法管制，譬如：提懸申請經營平台門檻、用戶採實名制登記、予金融廳直接管理，嘛是袂使避免虛擬貨幣經濟的犯罪事件。,請問日本是按怎管理虛擬貨幣犯罪？,經營者愛交用戶資料,公開用戶交易資料,干焦限日本人申請經營平台,用戶攏愛實名登記
1832537,「文昌帝君」閣號做「梓潼帝君」抑是「文昌公」，伊掌管人間的智識學問、功名利祿等等，佇道教的信仰裡，共文昌帝君佮關聖帝君、大魁星君、朱衣神君、呂洞賓遮的神明排做伙號做「五文昌」。,關係這段文字的敘述，下底佗一个是著的？,文昌帝君會當保庇學生囡仔考試順序,五文昌包含城隍爺,梓潼帝君就是關聖帝君,五文昌是佛教裡重要的神明
1842537,查埔：咱臺灣各地攏會當食著肉圓，你知影這之間的差別無？     查某：肉圓的外皮主要是用番薯粉做的，嘛有人會濫在來米的米漿，啊比例無仝，喙尾嘛無仝。嘛有人講：「南炊北糋」這个詞說明了臺灣南北煮肉圓的方式無相仝，毋過我感覺每一个所在肉圓的餡嘛都無仝款。             查埔：會記得我頂改佇新竹食的肉圓，是對油鼎內底撈出來的，餡是紅糟肉佮栗子，誠特別！ 蒜茸醬料嘛誠芳。             查某：新竹的肉圓猶有包紅糟肉佮蔥仔的蔥肉肉圓。我閣捌食過彰化的肉圓，有糋油的嘛有用炊的，而且比新竹的肉圓閣較大粒，包餡主要是用豬肉、香菇、筍丁。                  查埔：聽講台南有名的蝦仁肉圓是用炊的，餡是用火燒蝦佮赤肉做的，誠清甜好食。屏東嘛有肉圓是用炊的，餡是定定看會著的豬肉佮香菇。         查某：蝦仁肉圓聽起來是真特別，後擺有機會咱做伙來去食這个出名的點心。,這段對話的主要內容是啥？,紹介肉圓的做法,討論咱臺灣逐所在的肉圓有啥物無仝,介紹臺灣點心-肉圓，是按怎來的,討論佗位的肉圓較好食
1852537,小偉愛行in兜附近的彼逝產業道路，這逝路行久矣，會感覺穿鞋笨車車閣低路，除非彼工塗跤實在傷垃圾，若無就盡量褪赤跤。熱天時仔，打馬膠路會傳燒氣，予跤底略略仔燒燒，真四序，干焦就細膩有當時仔會看著的細尾蛇、水雞、露螺等等動物的屍體。褪赤跤行，誠輕鬆，跤底的皮膚自然會生了厚紮，煩惱跤底會受傷的顧慮攏是想傷濟。,阿偉行路的時，跤底是按怎樣仔？,踏著細尾蟲。,跤底著傷。,跤底燒。,跤底真垃圾。
1862537,"阿爸：明仔，你呔會毋食苦瓜咧？
明仔：我驚苦瓜的味，我討厭食苦瓜。
阿爸：我看你誠少食菜蔬，遮爾揀食對身體無好。
明仔：毋過我干焦愛食肉，豬肉又閣芳又閣軟，較好食。
阿爸：啥物攏食才會健康。
明仔：敢是按呢？按呢我食一喙看覓？
阿爸：明仔乖，若是你想欲大甲閣懸閣勇，除了運動、睏眠愛有夠，閣愛注意食食平棒。",下面佗一項毋是小明的飲食習慣﹖,無愛食苦瓜。,干焦食肉。,食食平棒。,歹喙斗。
1872537,"芳芳：「小佑，老師講的朝三暮四，是啥物意思？」
小佑：「是咧講有一个飼猴的人原本予猴仔橡果，是早起予𪜶三升，暗時仔予𪜶四升，結果這陣猴仔足無歡喜的。」
芳芳：「尾仔咧？」
小佑：「飼猴的人就調整一下，早時仔食四升，暗時仔食三升，這陣猴仔想講早起加一升，就歡喜共接受矣。」
芳芳：「橡果的總數敢毋是仝款？」小佑講：「是啊，這就是朝三暮四。」",請問兩个人的對話的意思，較倚佗一个成語？,墨守成規,朝秦暮楚,一成不變,一諾千金
1882537,佇西元1857年了後，差不多逐年的3月初8攏有類似的抗議遊行活動。其中上蓋唌人目的是佇1908年，彼陣有欲倚萬五个婦女行上紐約的街頭，要求縮短工作時間，增加工資佮有選舉的權利等，閣喝出象徵經濟保障佮生活品質的口號「麭加玫瑰」。,請問啥物是「麭加玫瑰」？,1900年代婦女早頓食麭，佮意佇邊仔囥一蕊玫瑰花,麭象徵經濟保障，玫瑰代表生活品質,這是1908年紐約婦女的口號，𪜶向望通有經濟保障佮生活品質,這是1908年婦女運動的口號
1892537,"張的：「林的，鴻門會內底上重要的項莊舞劍，意在沛公，是啥物意思？」
林的講：「就是佇鴻門會的時陣，范增揣項莊來舞劍，表面上是講軍中干焦會使用劍舞來助興，毋過實際上是想欲借這个機會共沛公刣死。」
張的：「遮爾緊張！後來咧？」
林的：「佳哉沛公的親家項伯，一直用家己的身體來保護沛公，就按呢沛公就平安無代誌。」
張的：「足驚險，莫怪人會講鴻門會是一場無咧安好心的宴會。」",請問「項莊舞劍，意在沛公」，意思佮下跤佗一个選項較接近？,醉翁之意不在酒,相看兩不厭,相敬如賓,賓主盡歡
1902537,臺灣的廣告界有兩支足精彩的影片：分別是五洋維吾比佮寶力達A。這兩支影片的特色是深度的紀錄每一个基層行業，譬如講農業、漁業佮重工業，影片用真實閣感動人的文字描述勞工朋友規年迵天做工課的艱苦，而且因為按呢會當鼓舞和振奮逐家的士氣。毋過若是政府高層會當有耐心的排解勞資雙方的糾紛，共工時佮薪資做適當的調整，反勢才會當真正對勞工朋友較有利，回饋𪜶對社會佮經濟的貢獻。,請問佗一件代誌會當真正予勞工朋友得著利益？,深入觀察佮記錄各行各業基層勞工朋友的工作環境,以真實閣感動人的文字描述勞工朋友規年迵天的艱苦,振奮勞工朋友的士氣，予伊儲備新一冬的工課能量,政府會當有耐心的排解勞資雙方糾紛，調整工時佮薪資
1912537,"男：你中晝頓敢食矣？
女：我食過矣。
男：我中晝干焦食一碗細碗的麵。
女：我參你閣去食寡。",根據對話，請問下面的描述佗一个是正確?,對話當中查某猶未食中晝。,對話當中查某的中晝食過矣。,對話當中查埔人猶未食中晝。,對話當中查埔的食飽矣。
1922537,講著奇幻史詩電影，按呢真濟人頭一个想著的百面是《魔手指》三部曲。《魔手指》三部曲是改編托爾金的仝名小說，故事對作者創造的中土大陸開始，描述人類、哈比人、精靈等等種族合作對抗烏暗魔君索倫，閣共至尊魔手指毀滅的故事。《魔手指》三部曲拍片拍八冬久，在上映煞了後，嘛咧賣比上映版本較長一點鐘的特別版DVD，予影迷閣較了解佇中土大陸發生的傳奇故事。《魔手指》三部曲毋但票聲真衝，嘛得著真濟獎，其中第三部曲攏總提著十一項奧斯卡獎。,請問《魔手指》三部曲的故事內容是講啥？,中土大陸的奇幻冒險故事,欲按怎得著奧斯卡獎,人類佮精靈的戰爭,一个珠寶鑑定師的冒險
1932537,A:予家己上少半點鐘的時間欣賞這批豐富的收藏品。對懸到七點五米的十四世紀中國壁畫開始，才閣來踅一下仔專門展出南亞佮東南亞收藏的彼寡展廳。B:猶閣有毋通錯過挾佇中層的細間展廳，遐有濟濟濟珍貴的作品。,有關頂面這篇文的敘述，佗一个正確?,建議先對南亞佮東南亞的展廳開始欣賞,建議上少予家己半工的時間欣賞,建議尾仔欣賞十四世紀的中國壁畫,建議愛去欣賞中層的細間展覽廳
1942537,敢有想欲試看覓騎咧馬仔頂走真緊的速度感？敢有想欲看一下仔邊界闊莽莽的草埔景緻？加入天天旅行社的內蒙古行程就著矣！阮用上低的價數，予你享受上高級的體驗。毋但會當食著規隻肥朒朒的烘羊仔、暗時仔會當睏佇咧蒙古包，閣有蒙古大沙漠騎馬的體驗，予你佇闊莽莽的草原無受約束盡情的跑馬。全程團費只要15000箍，猶閣咧躊躇啥，緊共電話攑起來敲專線電話0800-123456。,根據你所聽著的內容，下面敘述佗一个正確？,內容無講著旅行的日數。,內容無講著參加的費用。,內容有講著旅行社的地點,內容有講著會當騎駱駝。
1952537,阿姊：「欲共我氣死矣，陳曉明規路一直吵，連鞭問『為啥物欲去遐？』、連鞭講『等咧欲食啥？』抑有『遮敢若啥物攏無呢！』惱死矣，後擺袂佮伊做伙出國𨑨迌。」弟弟：「按呢喔！若是好的𨑨迌伴條件是啥？」阿姊：「我感覺好的𨑨迌伴愛會使滑溜面對各種臨時狀況，好鬥陣閣袂濫糝來。六大特徵：1、出發前愛分工規劃。2、旅遊行程愛有共識。3、有仝款的興趣。4、興食的物件愛相𫝛。5、開錢的慣勢相仝。6、袂烏白使性地。」,請問對話中講的好的𨑨迌伴特點無包含佗一个？,習慣,興的物件,智識,氣口
1962537,元宵節的時，紅樓夢中大觀園鬧熱咧臆謎猜，賈探春出一條題目：階下兒童仰面時，清明妝點最堪宜。遊絲一斷渾無力，莫向東風怨別離。意思是講：囡仔攏總看空中，因為清明節的時逐家紛紛出來𨑨迌，這个物件靠一絲絲仔線牽咧，風若傷透，予吹斷去了後就揣袂轉來矣。,請問這个謎猜的答案是啥？,干樂,布袋戲尪仔,跳索仔,風吹
1972537,"查埔：「這位媽媽共你會失禮，頭拄仔因為囡仔較濟，一時失覺察，網球課結束了後，減算著一位，煞共你的囡仔留佇網球場，害伊著生驚。」
查某：「免掛意，無要緊。乖囝仔，助教哥哥因為揣無著你，伊緊張甲足艱苦的，伊毋是刁意故的，這馬你共伊的面唚一下，共伊安慰一下！」",請問根據這段對話，媽媽是按怎來處理這个代誌？,責備助教,毋甘囡仔,隨機教育,無處理
1982537,2014年學生領導所發起的日頭花學運，短期間內就引起各界的關心，其中消防隊樂團佮大學生同齊合作推出一首為著學運所作的台語歌，歌詞描述學運參與者的心情，配合gí-tah的伴奏是一首誠有感染力的經典之作，嘛佇隔年金曲獎得著最佳年度歌曲。除了學運台語歌以外，消防隊樂團進前的《哈囉台灣》嘛佇這擺學運中湠開。,學運台語歌佇佗一年得著金曲獎最佳年度歌曲?,2014,2015,2013,2016
1992537,食起來甜甜的高麗菜，有豐富的膳食纖維、各種維生素佮礦物質，是逐家定定食的青菜。高麗菜會當豉做酸甜仔酸甜的泡菜，會當是水餃的餡，也通做高麗菜卷，毋過我上佮意的高麗菜料理是高麗菜飯。天氣寒的時，媽媽會煮高麗菜飯。一般的高麗菜飯主要是白米、高麗菜、香菇、肉絲、佮湯頭，毋過媽媽閣下鰇魚，所以她的高麗菜飯除了飯的芳味，閣有魷魚的鮮。逐擺咧食高麗菜飯的時，我閣愛𣁳一𣁳沙茶，來攪飯，予高麗菜飯有滿滿鹹薟的口感。高麗菜飯的飯芳、魷魚脆脆韌韌的口感，kah沙茶的薟芳，就是寒天的幸福。,作者的阿母做的高麗菜飯佮四常的高麗菜飯有啥無仝?,伊佇高麗菜飯內底加鹹魚仔,伊佇高麗菜飯內底加鰇魚,伊佇高麗菜飯內底加墨賊仔,伊佇高麗菜飯內底加黃魚
2002537,"
女：你敢有咧看最近真衝的歌唱選秀節目？
男：我逐禮拜攏會看，彼个節目敢有按怎？
女：這期的節目敢毋是已經咧欲選出總冠軍矣？後一屆參賽者的海選差不多欲開始矣，聽講會來咱學校舉辦海選！
男：有影無？時到一定真鬧熱。
女：一定會的。啊著矣，你敢有想欲參加海選？你唱歌足好聽的。",請問這位小姐想欲創啥？,逐禮拜看電影,伊想欲參加海選,鼓勵這位先生參加海選,伊欲參加總決賽
