漢字,華語
若是一个毋好勢，代誌就去了了矣。,若是一個不湊巧，事情就全完了。
手曲，屈入無屈出。,胳臂只會向內彎，不會向外彎。比喻偏袒自己人。
彼个人真歹死。,那個人很壞。
伊死的時陣真歹死。,他死的時候很痛苦。
這毋成錢，你就收起來。,這算不上什麼錢，你得收下。
伊去予彼个毋成人氣甲欲死。,他被那個不肖之徒氣個半死。
你欲騎跤踏車，手扞仔著愛扞予伊好。,你要騎腳踏車，就要把把手扶好。
伊是好額人，遮的零星錢對伊來講是毋成物。,他是有錢人，這些零錢對他來說是微不足道的。
毋成猴，閣會考第一名。,真是厲害，還會考第一名。
少年袂曉想，食老毋成樣。,年輕的時候不會想，年老了就不像樣了。
這馬外口的天色已經暗矣。,現在外面天色已經暗了。
天色已經無早，我欲轉去矣！,時間已經不早，我要回去了！
伊就是歹心行，才會受著報應。,他就是心腸不好，才會遭到報應。
醫生講伊欠血，著愛加食一寡較營養的物件。,醫生說他貧血，必須多吃一些比較營養的食物。
我看伊做的歹代誌毋但按呢爾爾。,我看他做的壞事不只這樣而已。
伊毋但寄付錢，閣去做義工。,他不只捐錢，還去當義工。
代誌做好矣，你毋免來矣。,事情已經辦好了，你不用來了。
厝是阿公的手尾放落來的。,房子是祖父遺留下來的。
伊月尾欲去高雄看𪜶後生。,他月底要去高雄看他兒子。
我手尾力無夠，捾袂起來。,我手掌的握力不夠，提不起來。
遐的查埔囡仔手真賤，愛掣查某囡仔的毛尾仔。,那些男孩手很賤，喜歡扯女孩的辮子。
這个客戶真歹扭搦，我看你閣揣一个人佮你去好矣。,這個客戶很難搞，我看你還是再找一個人跟你去好了。
伊有家己的想法，毋過毋敢開喙反抗𪜶阿爸的決定。,他有自己的想法，但是不敢開口反抗他爸爸的決定。
阮兜魚櫥仔的魚仔攏反肚矣。,我家魚缸裡的魚都死了。
彼个人的心肝真䆀，不時都想欲害人。,那個人的心腸真壞，常常都想要害人。
逐个囡仔攏是爸母的心肝仔寶貝。,每個小孩都是父母的心肝寶貝。
你心肝咧想啥物我知知。,你心裡在想什麼我清楚得很。
這擺的水災真嚴重。,這次的水災很嚴重。
你這馬當咧心狂火著，千萬毋通做決定。,你現在正火冒三丈，千萬不要做決定。
我心肝仔囝的。,我的心肝寶貝。
我的心肝窟仔當咧疼。,我的胸口正在痛。
這个囡仔真歹育飼。,這個小孩子很難扶養。
今仔日佇高速公路發生一件反車的意外。,今天在高速公路上發生一件翻車的意外。
伊是一个無天良的人。,他是一個沒良心的人。
這款工課恁文身的根本都做袂來。,這種工作你們斯文的人根本做不來。
宜蘭、鹿港的方言真有特色。,宜蘭、鹿港的方言很有特色。
踏水車,踩水車
你若毋較拍拚咧，連鞭就無法度佮人比並。,你要是不努力一點，馬上就比不上人家。
人若予人比並做精牲就足毋值矣！,人要是被比喻成畜牲就很不值了！
我規暝反來反去睏袂去。,我整晚翻來覆去睡不著。
伊講話按呢反來反去，毋知伊到底是欲按怎。,他講話總是這樣翻來覆去，不知道他究竟想怎樣。
阿英仔誠歹命，自細漢爸母就過身矣。,阿英很苦命，從小父母就過世了。
毛呼龜粿粽，紅包隨你送。,中元食品多的是，紅包隨便你多少好了。譏笑和尚在中元普渡時亂誦經。
有緣才會當做夫妻，恁就莫閣冤矣啦！,有緣份才可以成為夫妻，你們倆就別再爭吵了！
物件搦佇伊的手底。,東西攢在他手裡。
序大放予伊的手底袂少。,長輩留給他的遺產不少。
伊真歹性地，磕袂著就欲共人罵。,他的脾氣很壞，動不動就要罵人。
你著愛紮雨傘去，毋拄好落雨就用會著。,你要帶雨傘去，萬一下雨就用得到。
我今仔日人毋拄好。,我今天人不舒服。
比武招親是歌仔戲才有的齣頭。,比武招親是歌仔戲才有的把戲。
歹物毋通買。,不好的東西不要買。
聽講彼間厝有歹物。,聽說那間房子有凶物。
伊敢會生歹物？,他會不會有惡疾？
彼號歹物愛共伊教示。,那種壞人要給他教訓。
我跤底生一粒水疱。,我的腳底長一顆水泡。
好空的毋來，歹空的相爭報。,好事不來，壞事爭著來告知。
彼間厝誠歹空。,那間房子有鬼。
你問我的代誌我攏毋知，你去問別人。,你問我的事我都不知道，你去問別人。
伊予車挵一下毋知人。,他被車子撞得不醒人事。
人欲來揣你算數矣，你閣毋知死。,別人要來找你算帳了，你還不知死活。
逐家攏毋知影伊走去佗位。,大家都不知道他跑到哪裡去了。
阮這个庄頭的交通真無方便。,我們這個村莊的交通很不便利。
予人客方便，人客才會愛來。,讓客人方便，客人才會想來。
我來去方便一下。,我去方便一下。
你手頭若方便，一屑仔借我。,若你手頭方便，一些借給我。
伊是我拄過上歹剃頭的人。,他是我遇過最難相處的人。
你著好好仔拍拚，日後才有出脫。,你要好好努力，以後才有成就。
我已經支持袂牢矣。,我已經支撐不住了。
我希望恁共我支持。,我希望你們支持我。
物件猶閣好好你就毋挃矣，按呢敢袂傷討債？,東西還好好的你就不要了，這樣不覺得太浪費嗎？
這毋是我的。,這不是我的。
等一下看毋是勢，你就緊走。,等一會兒看不對勁，你就快點走。
飯猶未煮好，你先去食一塊餅止枵。,飯還沒煮好，你先去吃一塊餅充飢。
這港水泉的水誠甘。,這條泉水的水很甘甜。
初三四，月眉意。,農曆初三、初四，月形如眉。
彼幅圖真歹看。,那幅畫很難看。
我欲予伊歹看。,我要讓他難堪。
那行那食物件，實在真歹看相。,邊走邊吃東西，實在很難看。
想袂到伊會為著利益來反背眾人。,想不到他會為了利益而背叛大家。
巴郎好食毋分翁。,老婆覺得竹筴魚太好吃了，連自己都捨不得分給老公吃。為一句臺灣俗諺。
洗手面,洗手腳
手面真大,手頭現金很多
伊對語言方面真有興趣。,他對語言方面很有興趣。
我愛對佗一方面去才揣會著這項物件？,我要往那個方向去才能找到這項物品？
伊煮的物件真歹食。,他煮的東西很難吃。
你做甲遐辛苦閣予人嫌，實在真毋值！,你做得這麼辛苦還讓人嫌棄，實在太不值得了！
阿明𪜶後生真不孝，莫怪人講親生囝毋值荷包財。,阿明的兒子真不孝，難怪人家說親生子女不如荷包裡的錢實際。
這件代誌我毋准你按呢做。,這件事件我不允許你這樣做。
伊毋但無抾恨，反倒轉閣來共咱鬥相共。,他不但沒有記恨，反倒來幫我們忙。
下昏暗月娘真光。,今晚月亮很亮。
明明都講好矣，哪會使反悔？,明明都說好了，怎麼可以反悔？
天時不如地利。,占有利的時機還不如占地理優勢。
伊日時攏無佇厝裡。,他白天都不在家裡。
我毋捌出國過。,我不曾出過國。
伊毋捌字。,他不識字。
你哪會日時仔就咧睏？,你怎麼白天就在睡覺？
毋通講袂贏人就欲反桌。,不可以說不贏人家就要翻桌子。
伊佇病院做文書。,他在醫院處理文書工作。
今仔日天氣無好，你出門的時愛會記得紮雨幔。,今天天氣不好，你出門的時候要記得帶雨衣。
下早仔水氣真重。,今天早上溼氣真重。
伊昨昏都有較好矣，是按怎今仔日閣反症？,昨天他的病情明明有比較好了，怎麼今天又惡化了呢？
食藥仔會當止疼，毋過嘛有副作用。,吃藥能止痛，但是也有副作用。
伊規身軀專毛病。,他全身都是病痛。
致著這款歹症頭真歹醫。,得到這種頑症很難醫治。
伊袂插你，你莫枉費心神矣。,他不會理睬你，你不要浪費精神了。
你買這欲創啥？咱兜少缺！,你買這幹嘛？我們家多得很！
這種物件菜市仔少缺，免驚買無。,這種東西菜市場不少，不用怕買不到。
你若欠缺啥，先提伊的去用。,你如果有需要什麼，就先拿他的去用。
看你閣欠缺偌濟，我來想辦法。,看你還差多少，我來設法。
你記持誠䆀，隨講隨袂記得。,你記性好差，剛說就忘記。
拍斷手骨顛倒勇。,意指手臂被打斷了，痊癒之後反倒更強壯。比喻愈挫愈勇。
伊在生的時陣做真濟好代，死了後一定會上天堂。,他活著的時候做了很多好事，死後一定會上天堂。
夫婦著愛仝心。,夫妻一定要同心。
伊會拍𪜶老爸，真反常。,他會打他爸爸，真是反常。
食飯食甲遮爾仔毋情願，規氣莫食。,吃飯吃得這麼不情不願，乾脆不要吃。
伊最近看起來誠心爽。,他最近看起來很舒爽。
天理昭昭，地理何在？,意為天理昭彰，順天理而行，自有善報，何須風水庇蔭？
你會有這款心理，實在予人想袂到。,你會有這種心理，實在讓人想不到。
手烏烏去摸壁會有手痕。,手黑黑的去摸牆壁會有手印。
水產試驗所,掌管各項漁業資源調查、開發、漁業養殖技術等業務的中央政府機關。
風湧大才會反船。,風浪大才會翻船。
你毋通傷晏轉來。,你別太晚回來。
天頂天公，地下母舅公。,在天上天公最大，在人間舅公最大。這是來自閩南風俗的說法，指舅舅地位高，所以每逢婚嫁喜事，或有舅舅會出席的場合，多請他出面主持。
這个囡仔真歹喙，人較無愛佮伊鬥陣。,這個小孩子常說不該說的話，別人比較不愛跟他相處。
伊真歹喙斗。,他很挑嘴。
伊講話真歹喙斗。,他說話不留口德。
啉水止喙焦。,喝水止渴。
伊講你是一蕊花，這是一个比喻。,他說你是一朵花，這是一種比喻。
伊予人比喻做菩薩。,他被人比喻成菩薩。
做人著愛想予伊開，較袂心悶。,人生在世要放開心胸，才不會老是覺得煩悶。
老母心悶咧做兵的囝。,母親想念在當兵的兒子。
看你敢抑是毋敢？,看你敢還是不敢？
水晶宮,龍宮
水晶目,眼睛通透可以把人看穿的眼神
囡仔人食飯袂使歹款，逐項物件攏愛食。,小孩子吃飯不可以壞習慣，每樣東西都要吃。
天然的素材上好。,自然生成的材料最好。
雨潑對天窗落來。,雨從天窗潑下來。比喻禍從天降。
昨暝我真歹睏。,昨夜我很難入眠。
伊真𠢕巴結頭家，真顧人怨。,他很會向老闆拍馬屁，看來很令人討厭。
伊真巴結，拄著艱難攏袂放棄。,他很堅強、上進，遇到困難仍然不會放棄。
這是𪜶阿公的手筆。,這是他爺爺的筆跡。
這件代誌毋著的人是你。,這件事情錯的人是你。
伊講話真文雅。,他講話很文雅。
手勢無啥著。,手勢不太對。
人講會做翁仔某是頂世人相欠債。,有人說會成為夫妻是因為上輩子互相欠債。
誠歹勢，我無拄好煞共恁的玻璃杯仔摃破去。,真不好意思，我不小心把你們的玻璃杯打破了。
你傷過主動啦，伊會歹勢。,你太主動啦，他會害羞。
咱會佇遮相拄，攏是天意。,我們會在這裡相遇，都是上天的安排。
各人有各人的心意。,每個人都有自己的想法。
伊按呢講，無歹意。,他這樣說，沒惡意。
目睭掛斗概，看人物就愛。,眼睛掛著斗概，看到別人的東西就想要。因為斗概概入不概出，故有此比喻。
彼个人誠無水準。,那個人很沒有水準。
陳家的少爺人品真好，恁共查某囝嫁伊就無毋著啦。,陳家的少爺人品很好，你把女兒嫁給他絕對不會錯。
阮少爺對阮這寡下跤手人攏真好。,我們少主人對我們這些僕役下屬都很好。
這魚仔真臭臊，予人鼻著強欲反腹。,這魚腥味很重，讓人聞起來簡直要反胃。
彼个人的心腸真䆀。,那個人的心地很壞。
烏白食會歹腹肚。,隨便吃會肚子痛。
伊專門佇後壁講人的歹話。,他專門在背後說人家的壞話。
鬧熱時仔毋通講歹話。,喜慶的時候不可以說不祥的話。
毛跤欲修無？,毛髮的邊際要修一修嗎？
伊捌足濟種做瓷仔的手路。,他懂得很多種做瓷器的專門技術。
伊這款做法手路傷粗啦。,他這樣的做事手法太過粗魯了。
你千萬毋通閣行歹路。,你千萬不要再做壞事。
阿英仔有夠歹運，見若儉寡錢，人就破病。,阿英運氣很差，只要存點錢，就會生病。
雖然𪜶兜真散赤，毋過𪜶的囡仔攏真有出脫。,雖然他家很窮，但是他的孩子都很傑出。
這兩个計畫性質差傷濟，真歹比較。,這兩個計畫性質差太多，很難比較。
山頂無牽水道！,山上沒有牽自來水線路！
這是阮阿母的手路菜。,這是我媽媽的拿手好菜。
囡仔人毋通傷手銃。,小孩子不可以太頑皮。
伊是做水電的啦！,他是水電工啦！
明仔暗會停電，你敢有攢手電仔？,明天晚上會停電，你準備手電筒了嗎？
咱已經品好矣，希望你毋通反僥。,我們已經說好了，希望你不要反悔。
聽講這款藥仔會當止嗽化痰兼顧肺管。,聽說這種藥可以止咳化痰以及保養氣管。
你按呢做毋驚會夭壽！,你這樣做不怕會短命！
夭壽！阮這條巷仔昨昏又閣著賊偷矣。,缺德！我們這條巷子昨天又遭小偷了。
這粒木瓜夭壽甜！,這顆木瓜非常甜！
你這款人，啥物夭壽代誌做袂出來！,你這種人，什麼過分的事做不出來！
你這个夭壽短命的，共我的錢提去跋筊輸了了。,你這個短命鬼，把我的錢拿去賭博輸光光。
我反對你這款做法。,我不贊成你這種做法。
你的手摺簿仔好換矣。,你的存摺簿應該要換了。
我欲去買一本手摺簿仔轉來記數。,我要去買一本小筆記本回來記帳。
毋管是啥人共你問，你攏袂使講。,不論是誰問你，你都不可以說。
這條水管破去矣。,這條水管破掉了。
引誘賊仔出來。,引誘小偷出來。
伊的身世予人聽著感覺誠心酸。,他的身世聽著讓人覺得很傷心。
有酒矸，通賣無，歹銅舊錫簿仔紙通賣無？,有空酒瓶或者用過的壞器具、紙張可以回收利用的東西要賣嗎？摘自民間歌謠。
明仔載𪜶一陣人欲去海邊仔引魂。,明天他們一群人要去海邊招回死者的魂魄。
反對的人是少數，你就放心去做。,反對的人是少數，你就安心去做。
我毋捌咧共人欠數。,我不曾欠別人帳。
今仔日有一个和尚來遮化緣。,今天有一個和尚來這裡化緣。
比論講伊若共你借錢，你敢會借伊？,比方說他若跟你借錢，你會借嗎？
伊人有夠心適。,他這個人很有趣。
今仔日你去𨑨迌，有心適無？,今天你去玩，開心嗎？
囡仔人毋通坐戶橂。,小孩子不要坐在門檻上。
天氣真寒，你愛會記得掛手橐仔。,天氣很冷，你要記得戴手套。
伊這个人歹積德，後擺無好尾。,他這人不做善事積陰德，以後不得善終。
伊的一句話予我規个心頭挐絞絞。,他的一句話使得我的心裡一片雜亂。
心頭掠予伊定，大步向前行。,打定主意，跨大步向前走。
這站仔手頭真絚。,這陣子經濟狀況真是拮据。
手頭拄拄仔好無閒。,目前剛好沒空。
這个醫生的手頭有較重。,這個醫生所開的藥劑的份量比較重。
今仔日的日頭真猛。,今天的太陽真大。
送日頭,送日子。指男方通知女方結婚日。
我月頭愛納厝稅錢。,我月初要繳房租。
請朋友鬥允頭路,請朋友幫忙介紹工作
鴛鴦水鴨,鴛鴦水鴨
反應無好。,反應不好。
大摒掃的時，天篷嘛著清清咧。,大掃除的時候，天花板也要清一清。
伊講話誠歹聲嗽，予人聽著心肝頭袂爽快。,他說話口氣很粗暴，讓人聽了心裡不舒服。
船欲入港的時會霆水螺。,船要進港時會鳴汽笛。
未來社會會變按怎，真歹講。,未來社會會變怎樣，真難說。
後日遮欲舉行一場歌唱比賽。,後天這裡要舉辦一場歌唱比賽。
現代的水觳仔塑膠做的較濟。,現代的水瓢多半是塑膠製的。
伊車駛傷緊，駛甲規台車反輾轉。,他車子開得太快，開到整臺車都翻過來。
腹肚若水櫃，胸坎若樓梯。,肚子像水櫃一樣凸起，胸前肋骨像樓梯一根根突現。形容人營養不良的模樣。
伊的歹癖一大堆，連鞭咬指甲，連鞭搝頭鬃。,他的壞習慣一大堆，一下咬指甲，一下拉拔頭髮。
伊毋願共你鬥相共，你就揣別人嘛。,他不願意幫你，你就找別人嘛。
伊連一點仔機會都毋予我，我誠毋願。,他連一點機會都不給我，我真不甘心。
辦手續,辦手續
這件代誌若是傳出去，會真歹聽。,這件事情要是傳出去，會很不光彩。
三更半暝走去墓仔埔，你敢毋驚去看著歹物仔？,半夜跑到墓園去，你難道不怕看到鬼嗎？
大地動會予人心驚膽嚇。,大地震會讓人心驚膽顫。
手䘼著火矣。,袖子著火了。
電火,電燈
火化去矣。,火熄滅了。喻指「沒力了、沒勁了」，也可引申為表示「慘了、糟了、完蛋了」等意思。
火大,生氣
火氣大,火氣大
退火,退火
雞跤爪,雞爪
歹手爪,不規矩的手。意指有不良習慣或行為。
有其父必有其子。,有其父必有其子。
這爿,這邊
東爿,東邊
一爿,一旁、一邊
王梨爿,鳳梨片
一爿西瓜,一片西瓜
木字爿,木字旁
名片,名片
一片枋仔,一片木板
歹癖片,不好的習性
這支螺絲的牙萎去矣！,這支螺絲的螺紋已經磨損了！
虎牙,虎牙
象牙,象牙
今仔日十六，有真濟生理人做牙。,今天十六號，有很多生意人備牲祭拜土地公和孤魂野鬼。
國王,國王
囡仔王,孩子王
蜂王,蜂王
王牌,王牌
王昭君,王昭君
王見王,死棋
若想著這層代誌，我就火大。,只要一想到這件事情，我就感到非常生氣。
阮阿公攑爪仔欲去整理菜園。,我爺爺拿了耙子要去整理菜園。
彼隻貓仔的爪仔真利，毋通去予伊抓著。,那隻貓的爪子很銳利，不要被牠抓到。
火舌湠去誠緊，一目𥍉仔就共厝燒了了矣。,火苗擴散得很快，一下子就把房子燒光光了。
阿三仔彼箍無路用人，干焦會曉佇牛牢內觸牛母爾爾。,阿三那個沒有用的人，只會在自己家欺負家人，對外卻完全不敢吭聲。
放煙火的時陣愛注意，毋通去予火星噴著。,施放煙火的時候要小心，才不會被火花噴到。
這馬較少人咧燃火炭。,現在比較少人用木炭燒火。
交朋友愛細膩，毋通去交著王哥柳哥。,交朋友要小心，不要交到不三不四的人。
你哪會使攑牛捽仔咧捽囡仔？,你怎麼可以拿趕牛鞭打小孩呢？
這个牛牢內底有幾隻牛犅？,這個牛舍裡有幾隻公牛？
伊定定佇這箍圍仔佮人冤家相拍，又閣欲食毋討趁，袂輸王爺咧。,他時常在這地方與人吵架、鬥毆，而且好吃懶做，簡直就像個王爺。
鐵齒銅牙槽,比喻頑固嘴硬的人
舊年遮火燒山，樹仔攏燒了了。,去年這裡山林失火，樹木全部燒光了。
巷仔口火燒厝，足濟人圍咧看。,巷口屋子起火，很多人圍觀。
就是天氣傷熱，毋才會火燒埔。,就是因為天氣太熱，荒地才會起火燃燒。
六月火燒埔，真正會熱死人。,像這種六月炎熱的天氣，真的會熱死人。
伊敢若牛螕咧，欲叫伊出錢是無可能的代誌。,他就像牛螕一樣，要叫他出錢是不可能的事情。
牛頭馬面,牛頭馬面
你講話若火雞母咧。,你說起話來像老母雞一樣。
世交,兩代以上的交誼
世事,世事
世局,世局
一世人,一輩子
出世,出生
丙等,丙等
一家之主,一家之主
苦主,苦主
厝主,屋主
賓主盡歡,賓主盡歡
感謝主,感謝主
捾桶仔丼一聲就落入去鼓井內矣。,水桶咚的一聲就投進水井內了。
糋好的芋仔糋欲食進前愛閣乍一下。,炸好的芋頭要吃之前得先過油再稍微炸一下。
你今仔日欲出去𨑨迌乎？,你今天要出去玩對吧？
花是你送的乎？免歹勢啦！,花是你送的對吧？別不好意思啦！
時機䆀䆀，我的錢水有較乏。,景氣不好，我的金錢較欠缺。
囡仔,小孩子
抿仔,刷子
大伯仔,婦人稱夫兄
土匪仔,土匪
警察仔,警察
姨仔,妻子的姊妹
舅仔,舅子
小叔仔,小叔
邊仔,旁邊
尾仔,末梢
今仔日,今天
邱仔罔舍,邱大老爺
翁仔某,夫妻
爸仔囝,父子
三仔五,三百五十
小可仔,稍微、一點點
一點仔,一點點
舊舊仔,舊舊的
少少仔,少少的
久久仔,偶爾
笑笑仔,笑笑的
明仔,阿明
嫂仔,嫂子
仕途,仕途
出仕,做官
紅仕,紅仕
交付,交付
付錢,付錢
求仙,求仙
八仙過海,八仙過海
相命仙,算命先生
王祿仔仙,走江湖賣藝為生的人
酒仙,嗜酒的人
仙講都毋聽。,怎麼說都不肯聽。
仙都毋通做歹囝。,無論如何都不要成為浪蕩子。
一仙錢,一分錢
仝款,同樣
無仝,不同
時代,時代
現代,現代
第二代,第二代
第三代,第三代
後代,後代
代誌,事情
可憐代,不幸事件
召集令,召集令
夏令時間,夏令時間
時令,時令
令尊,令尊
令堂,令堂
以你的經驗來看，這件代誌是按怎發生的？,以你的經驗來看，這件事是怎麼發生的？
新店溪以南,新店溪以南
三千以上,三千以上
大兄,大哥
表兄,表哥
李兄,李兄
冊皮,封面
冊店,書店
買冊,買書
第一冊,第一冊
仙人拍鼓有時錯，跤步踏差啥人無？,仙人打鼓也會有差錯，何況凡人？比喻誰能無過。
伊媠甲若仙女。,他美得像仙女。
伊的病哪會好甲遐爾仔緊？敢是去食著仙丹？,他的病怎麼好得那麼快？難道是吃到仙丹？
你想欲判我的罪，著愛有充分的證據。,你想要定我的罪，必須要有充分的證據。
這種餅世代相傳已經規百年矣。,這種餅世代相傳已經幾百年了。
代先明呼明唱，才袂後日仔毋認數。,事先講明，以後才不會不認帳。
你做代先。,你帶頭。
拄著危險，伊攏走代先。,遇到危險，他都跑在最前頭。
腦充血,腦充血
𪜶兩兄弟的感情真好。,他們兄弟倆的感情很好。
阮這陣兄弟已經熟似十幾冬矣。,我們這群朋友已經認識十幾年了。
今仔日佇西門町有一陣兄弟咧捙拚。,今天在西門町有一群黑道在火拼。
今年的雨水真充足，稻仔結了誠飽穗。,今年的雨水很充足，水稻長得很飽滿。
世事亂紛紛。,人間的事很煩擾。
人情世事,人情世故
彼間冊店的冊真濟。,那間書店的書很多。
予𪜶兩个去仙拚仙，咱蹛邊仔看戲就好。,讓他們去拚鬥，我們在旁邊看戲就好。
𪜶兩个是仝爸各母的兄弟。,他們兩個是同父異母的兄弟。
伊代表公司來開會。,他代表公司來開會。
明仔載以前愛共代誌做予伊好勢。,明天以前必須把事情處理好。
世俗人有誠濟代誌看袂開。,凡人有很多事情看不開。
囡仔離跤手以後你就輕鬆矣。,孩子長大離家以後你就輕鬆了。
今仔日的會議由伊來主持。,今天的會議由他來主持。
世界甜,超級甜
世界貴,超級貴
伊做生理會當成功，主要的原因就是認真拍拚。,他經商成功，主要的原因就是認真努力。
伊是阮兄哥。,他是我哥哥。
內山兄哥,住在深山裡的男性，又指老實的莊稼人。
主動的態度佮拍拚的精神是做人成功的基本條件。,主動的態度和奮鬥的精神是做人成功的基本條件。
你對這件代誌有啥物主張？,你對這件事情有什麼看法？
我主張咱愛堅持到底，毋通妥協。,我認為我們應該堅持到底，不要妥協。
出家人著愛看破世情。,出家人必須要看破世間瑣事。
我今仔日無閒，公司的代誌才勞煩你代理一下。,我今天很忙，公司的事情就麻煩你代理一下。
這兩个皮包仔看著仝款仔仝款。,這兩個皮包看起來一模一樣。
這張批麻煩你替我代筆一下。,這封信麻煩你幫我代寫一下。
世間人攏真自私，干焦知影顧家己的利益。,世人都自私，只知道顧自己的利益。
伊是阮兄嫂。,他是我嫂嫂。
這層代誌予你主意就好。,這件事情由你做主就可以了。
這是啥人的主意？,這是誰的意見？
且慢一下,等一下
新正年頭，規个社會充滿快樂的氣氛。,新的一年剛剛開始，整個社會充滿了快樂的氣氛。
厝內大細項代誌攏是伊咧發落。,家裡面大小事情都是他在處理。
這層代誌你會當請伊代辦。,這件事情你可以請他代辦。
冬天,冬天
冬筍,冬筍
一冬,一年
好年冬,農作物收成好的年份
六月冬,第一期稻作的收成季
凹落去,凹下去
彼條路中央有一凹，你著愛較細膩咧。,那條路中央有一個坑，你要小心點。
出好囝孫,蘊育優秀的後代
出代誌,發生事情
出泉,泉水湧出
出日頭,出太陽
出國,出國
出社會,出社會
出界,出界
二十出,二十多
芥菜當咧出,芥菜正出產
遮出柳丁,這裡出產柳丁
出錢,出錢
出菜,出菜
出氣,出氣
出名,出名
出頭,出頭
袂出得買來食,捨不得買來吃
出五百欲共伊買。,出五百要跟他買。
真俗矣，莫閣出矣！,很便宜了，別再出價了！
八出菜,八道菜
這出菜真好食。,這道菜很好吃。
伊拍拚的故事有刊佇報紙頂頭。,他努力奮鬥的故事被刊登在報紙上面。
刊物,刊物
月刊,月刊
功勞,功勞
功效,功效
加薦仔,小提袋
加車,牛軛
遮的加起來攏總一百箍。,這些加起來總共一百元。
加工,加工
加添,增加
加倍,加倍
寄話會加，寄物會減。,請人傳話會被加油添醋，寄放東西則可能會被揩油。
伊加找我五十箍。,他多找我五十塊錢。
伊看起來加較少年。,他看起來年輕多了。
予你加無閒，真歹勢。,讓您增加麻煩，多了許多事，真是不好意思。
包水餃,包水餃
包冊,包裝書本
遮的菜尾攏共包起來。,這些剩菜全部都打包起來。
包贏的,保證會贏
一包米,一包米
藥包,藥包
茶包,茶包
肉包,肉包
菜包,菜包
割包,割包
包公,宋代有名的清官
服務費包在內,服務費包含在裡面
包機,包機
包伙食,包伙食
北爿,北邊
上北,北上，多指縱貫線火車上行
半數,半數
半途,半途
一知半解,不完全了解
半隻,半隻
半路,半路
半知半毋知。,一知半解。
伊卌外歲矣，看著猶真少年。,他四十多歲了，看起來還是很年輕。
占位,占據位子
占大多數,占大多數
彼兩个囡仔咧冤家，你緊去共占。,那兩個小孩在吵架，你趕快去勸阻一下。
信用卡,信用卡
屜仔卡牢咧！,抽屜卡住了！
伊講欲請我食好料的，真正是卯死矣！,他說要請我吃好料耶，真是賺到了！
卯時,早上五點至七點
運途行佇卯字。,比喻走霉運。
無喙齒，只好沓沓仔卯。,沒有牙齒，只好慢慢咀嚼。
喙卯卯,嘴唇扁掉凹陷的樣子
去日本,去日本
去食飯,去吃飯
去𨑨迌,去玩耍
有去無回,有去無回
伊舊年就去矣。,他去年就去世了。
去了了矣！,全完蛋了！
傷濟，我做袂去。,太多了，我做不完。
予伊食去。,被他吃掉。
走去矣,跑掉
買這領衫去掉一千箍。,買這件衣服花費一千元。
去傷改鬱,去傷解鬱悶
去垃儳,清除髒汙
古早時代,古時候
講古,講故事
懷古,懷古
𪜶兜的家具較古。,他們家的家具古色古香。
這種物件傷古啦！,這種東西太爛了啦！
疑問句,疑問句
有鬥句,有押韻
一句話,一句話
鵝仔會共人叨。,鵝會追咬人。
叨錢,纏著要錢
叩頭,磕頭
只有,只有
只不過,只不過
一只衛生紙,一疊衛生紙
大聲叫,大聲喊叫
先生咧叫你。,老師在叫你。
校長叫伊去校長室。,校長叫他去校長室。
叫車,叫車
叫菜,叫菜
你叫啥物名？,你叫什麼名字？
你愛叫伊阿姑。,你要叫他姑姑。
你愛閣共伊小叮一下，伊才會記得。,你要再稍微叮嚀他一下，他才會記得。
我予蠓仔叮著。,我被蚊子叮到。
伊不時予頭家叮。,他常常被老闆斥責。
可以,可以
可見,可見
可能,可能
舞台,舞臺
鏡台,安裝有鏡子的底座
電視台,電視臺
一台電視,一台電視
一台車,一輛車
囚禁,囚禁
舊囚食新囚。,老犯人欺負新犯人。比喻老手欺生手。
四个人,四個人
四書五經,四書五經
外口,外頭
放外外,疏離
五十外歲,五十多歲
外國,外國
外交,外交
央人寫批,拜託別人代為寫信
你若欲半䖙倒看電視，你的目睭早慢會近視。,你如果要斜躺著看電視，你的眼睛早晚會近視。
較早的人感覺出丁是福氣。,以前人覺得生男孩子是福氣。
出入愛細膩。,出入要小心。
伊所講的佮事實有真大的出入。,他所說的和事實很不一致。
出力共拍落去。,使勁地打下去。
阿姨毋是外人，你講，無要緊。,阿姨不是外人，你說，沒有關係。
這是咱這組的問題，莫共外人牽拖入來。,這是我們這組的問題，不要把外人牽扯進來。
規个家伙攏去了了矣。,全部的家產都完蛋了。
王的後日欲出山。,老王後天要出殯。
你做按呢就會使矣，毋免閣加工啦！,你做這樣就可以了，不必再浪費力氣了！
囝婿是半子。,女婿是半子。
我明仔載欲請半工的假。,我明天要請半天假。
伊拄才對外口轉來。,他剛才從外頭回來。
伊驚一下半小死。,他嚇得半死。
伊才退伍無偌久，就央三託四欲揣頭路。,他才退伍沒多久，就多方請人協助就業。
代誌做到半中站，袂使喝停就停。,事情做到一半，不能說停就停。
伊竟然敢出手拍我。,他竟然敢動手打我。
價錢遮懸你若毋出手，將來一定會反悔。,價錢這麼高，你若不出手將來一定會反悔。
伊出手真大方。,他花錢很大方。
阮阿公耍股票輸了了，煞拍我出水。,我爺爺玩股票賠光了錢，卻打我出氣。
另日咱才做伙食飯。,改天我們再一起吃飯。
伊可比一隻予人關佇籠仔內的鳥仔。,他好比是隻被人關在籠子裡面的小鳥。
